id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8577742,Studio Economy - Balaskas Hotel,45142798,Vasilis,,Καρπάθου (Karpathos),35.75659,27.20623,Hotel room,50,3,0,,,6,365
8577751,Triple Economy - Balaskas Hotel,45142798,Vasilis,,Καρπάθου (Karpathos),35.75558,27.20681,Hotel room,55,3,0,,,6,365
8577765,Double / Twin Standard - Balaskas Hotel,45142798,Vasilis,,Καρπάθου (Karpathos),35.7566,27.20802,Hotel room,50,3,0,,,6,365
8578043,Studio Standard - Balaskas Hotel,45142798,Vasilis,,Καρπάθου (Karpathos),35.7555,27.20914,Hotel room,70,3,1,2017-08-20,0.04,6,362
8580588,Chrysostomos house in pano porta,16208980,Chrysostomos,,Κιμώλου (Kimolos),36.79388,24.57379,Entire home/apt,100,7,18,2019-08-24,0.46,1,358
8583944,Friendly B&B in relaxed setting,45177198,Stavrula,,Ιητών (Ios),36.72543,25.27531,Hotel room,100,2,8,2019-09-19,0.21,22,1
8584023,Well-located friendly family hotel,45177198,Stavrula,,Ιητών (Ios),36.72723,25.27592,Hotel room,100,2,3,2019-09-14,0.23,22,1
8584425,Fab hotel with pool near Ios port,45177198,Stavrula,,Ιητών (Ios),36.72483,25.27574,Hotel room,100,1,2,2018-07-26,0.08,22,1
8585855,VillaViolanta Balcony on the aegean,6027809,Costa,,Άνδρου (Andros),37.885,24.71467,Entire home/apt,160,3,3,2018-08-10,0.12,1,318
8601550,"Deluxe Suite, Private Plunge Pool, Caldera View",37971825,Eftichis,,Θήρας (Santorini),36.35984,25.39266,Entire home/apt,279,1,19,2019-05-11,0.45,17,183
8601863,AGRARI VILLAGE Pool Residence,30299731,Stelios,,Μυκόνου (Μykonos),37.42951,25.37705,Entire home/apt,350,2,30,2019-09-16,0.67,2,365
8605326,Traditional House in Sifnos,7102253,Liana,,Σίφνου (Sifnos),36.96823,24.72111,Entire home/apt,80,5,27,2019-09-22,1.01,1,171
8606589,Family Apartment with private garden,5873723,Artemis Polykrati & Ioanna,,Άνδρου (Andros),37.86011,24.78086,Entire home/apt,192,1,4,2019-07-15,0.10,3,156
8608769,Σπίτι στη πάρο,39920539,Vivi,,Πάρου (Paros),37.05614,25.20986,Entire home/apt,50,2,25,2019-09-01,0.65,1,0
8610988,Luxury 100m2 house 15min. from sea,43612747,Polyvios,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.05254,25.4801,Entire home/apt,70,4,3,2019-04-18,0.08,1,329
8617156,Studio 4,35606800,Nikos,,Πάρου (Paros),37.03292,25.25243,Entire home/apt,58,1,61,2019-09-24,1.28,10,363
8625768,Villa Christina Luxury Villa,45349149,George,,Ρόδου (Rhodes),35.98968,27.90869,Entire home/apt,550,7,0,,,2,365
8628284,pension Irene 1,45380883,Σταυρος,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.1015,25.37894,Hotel room,20,1,133,2019-09-24,2.79,11,26
8639500,Studio with Big Balcony 30 meters from the Beach!,29379676,Konstantinos,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.07525,25.34979,Entire home/apt,85,1,54,2019-09-16,1.31,5,112
8640193,Lindia Athena Luxury Villas,45349149,George,,Ρόδου (Rhodes),36.10596,28.06327,Entire home/apt,600,6,6,2019-09-14,0.23,2,197
8642007,"Luxury villa Rea private pool,4 bdr,10pers",45432132,Nikolaos,,Ρόδου (Rhodes),36.41028,28.12181,Entire home/apt,195,3,5,2019-08-31,0.26,1,138
8653514,"Veneston Suites, Kapari",45473752,Dimitris,,Θήρας (Santorini),36.4219,25.43296,Entire home/apt,270,1,13,2019-09-23,6.19,2,28
8669577,"Traditional villa, Jacuzzi, Veranda with Sea view",10478498,Evangelia,,Θήρας (Santorini),36.43543,25.43124,Entire home/apt,250,2,85,2019-09-21,2.05,4,152
8679748,Art villa with great view to Otzias bay-Kea,45583704,Marilena,,Κέας (Kea),37.67404,24.35095,Entire home/apt,90,3,5,2019-06-17,0.13,1,363
8697900,Old traditional house,45050770,Betty,,Νισύρου (Nisyros),36.61104,27.13132,Entire home/apt,40,1,16,2019-07-27,0.42,1,28
8698479,House PSILI in Villa Patmos Netia,7334011,Antonio,,Πάτμου (Patmos),37.33072,26.54777,Entire home/apt,101,1,0,,,7,89
8699150,"Cozy, modern apartment in Rhodes center",45669494,Kostas,,Ρόδου (Rhodes),36.45456,28.22253,Entire home/apt,150,4,6,2019-07-27,0.13,3,362
8703119,Studios Prevena 1,35974364,Evangelia,,Μήλου (Milos),36.7261,24.45749,Private room,45,2,54,2019-09-20,1.39,9,206
8707869,Luxury Room in a 4**** adults only Hotel,18580179,Emmanouil,,Ρόδου (Rhodes),36.24497,28.1601,Private room,47,1,9,2019-07-23,0.22,5,83
8708202,Lux 3bedroom Villa-Private Pool Kolymbia center,18580179,Emmanouil,,Ρόδου (Rhodes),36.25661,28.15953,Entire home/apt,189,1,25,2019-09-15,0.59,5,365
8711068,Penelope Mansion Chora,45725135,Aggeliki,,Πάτμου (Patmos),37.30679,26.54999,Entire home/apt,250,1,5,2019-09-02,0.13,1,365
8711927,Wonderful Villa with pool to Relax by the Sea,41945283,Ιωάννα,,Κέας (Kea),37.58376,24.26752,Entire home/apt,330,3,8,2019-09-03,0.31,1,267
8733091,Lefko Spiti,45822046,Giota,,Πάρου (Paros),37.00365,25.21423,Entire home/apt,60,3,3,2018-09-02,0.08,2,214
8739902,Belle Etoile villas Santorini,45850990,Avgerini,,Θήρας (Santorini),36.43316,25.42892,Entire home/apt,200,1,41,2019-09-07,0.97,6,201
8747348,Belle Etoile honeymoon suite,45850990,Avgerini,,Θήρας (Santorini),36.43229,25.42884,Private room,100,1,53,2019-09-06,1.29,6,178
8748364,THE COURTYAR Lardos - Rhodes island,43699666,Roberto,,Ρόδου (Rhodes),36.09533,28.01667,Entire home/apt,80,3,8,2019-09-17,0.29,1,154
8768392,"Dream blue, caldera view villa with private pool",10489106,Louanna,,Θήρας (Santorini),36.46038,25.37571,Entire home/apt,680,2,91,2019-08-27,2.09,6,219
8770508,VILLA IN KEA ISLAND - KOUNDOUROS,45982025,Ιωάννης,,Κέας (Kea),37.58233,24.27925,Entire home/apt,1200,7,0,,,1,364
8774839,Villa Pelekanos,46000146,Villa Pelekanos,,Θήρας (Santorini),36.41043,25.45098,Private room,25,1,111,2019-09-13,2.31,5,335
8775177,2.1) Private room for two people by the beach,46000966,Ios,,Ιητών (Ios),36.72478,25.27567,Private room,70,1,67,2019-09-21,1.68,15,118
8790673,Pasalis Family Apartments,46069637,Eleni,,Ρόδου (Rhodes),36.04962,27.95334,Entire home/apt,65,3,1,2016-08-23,0.03,1,1
8803884,Traditional greekstyle villa,46067825,Fereniki,,Ρόδου (Rhodes),36.02482,27.92555,Entire home/apt,80,3,25,2019-09-27,0.53,1,362
8805002,Plastiras rooms,46102114,Grigoris,,Θήρας (Santorini),36.41755,25.43911,Private room,65,2,3,2019-05-10,0.07,1,208
8819458,Depis Edem Red villa  with sea view Plaka Naxos,46200384,Zoulis  Evangelos-Giannis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.04979,25.38014,Entire home/apt,220,3,3,2019-06-24,0.17,52,175
8819917,"Belle Etoile ""traditional villa""",45850990,Avgerini,,Θήρας (Santorini),36.43133,25.42979,Entire home/apt,100,1,34,2019-08-31,0.83,6,193
8828677,Santo margarita red,19403697,Georgeo,,Θήρας (Santorini),36.47443,25.38129,Private room,120,1,1,2019-09-05,1,2,364
8834561,House Irene,9547794,Claudio,,Θήρας (Santorini),36.36063,25.41725,Entire home/apt,70,2,59,2019-09-14,1.51,2,0
8843793,"Super Villa ""AlGreco"", sleeps  18 people",44816289,Anastasios(Alex),,Ρόδου (Rhodes),36.39138,28.19893,Entire home/apt,600,4,0,,,11,364
8849068,Apartment Dream Holidays,19852773,Maria,,Ρόδου (Rhodes),36.4223,28.15735,Entire home/apt,70,4,3,2019-07-30,0.07,2,360
8850367,One-Bedroom House,22703400,Georgios,,Θήρας (Santorini),36.39851,25.44663,Entire home/apt,120,2,2,2018-08-23,0.13,4,11
8853283,"Private apart ""Joanna""  in Gated Nudist Resort.",44816289,Anastasios(Alex),,Ρόδου (Rhodes),36.39258,28.19874,Entire home/apt,49,4,8,2019-07-24,0.20,11,364
8857624,House PETRA a Patmos,7334011,Antonio,,Πάτμου (Patmos),37.33058,26.54855,Entire home/apt,64,3,8,2019-09-10,0.31,7,89
8858220,twin room,46000146,Villa Pelekanos,,Θήρας (Santorini),36.41283,25.45079,Private room,25,2,85,2019-05-31,2.00,5,333
8860965,Waterfront Entire Beach House below Geriakos crag,46385941,Emmanouil,,Καλυμνίων (Kalymnos),36.98915,26.93034,Entire home/apt,28,7,65,2019-09-28,1.36,1,310
8873404,"Αγγελικής, comfortable home with great views...!!!",46441561,Αγγελική,,Καλυμνίων (Kalymnos),37.01518,26.97094,Entire home/apt,40,1,15,2019-09-15,0.58,1,350
8873922,Depis Place junior suite Naxos town,46200384,Zoulis  Evangelos-Giannis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.09995,25.37967,Hotel room,50,1,0,,,52,365
8875343,"""Aigaion House"" on Kea island.",46448319,Anna,,Κέας (Kea),37.66902,24.35751,Entire home/apt,550,3,4,2018-08-11,0.10,1,2
8876079,Villa Thalassa,3806155,Lefteris,,Μυκόνου (Μykonos),37.4436,25.32888,Entire home/apt,3000,7,0,,,2,362
8877745,House with panoramic view magical sunset in Syros,46459529,Δημητριοσ,,Σύρου - Ερμούπολης (Syros),37.41491,24.91824,Entire home/apt,99,4,11,2019-08-29,0.29,1,72
8880309,"SIFNOS Beachhouse, Platis Gialos -Blue Island Yoga",2173030,Martha,,Σίφνου (Sifnos),36.93281,24.73168,Entire home/apt,499,7,5,2019-08-06,0.19,1,365
8881508,Greek paradise,11400816,Daphne,,Μεγίστης (Kastellorizo),36.15075,29.59293,Entire home/apt,120,3,0,,,1,177
8890975,"Maganos Frangiska Apt: Stunning views, near beach",16860801,Sofronios,,Μυκόνου (Μykonos),37.41161,25.34984,Entire home/apt,54,1,84,2019-09-29,2.05,18,139
8891180,Electra Village Mykonos One Bedroom House 2,12354913,Electra,,Μυκόνου (Μykonos),37.44987,25.36973,Private room,160,3,7,2018-06-11,0.18,11,266
8893598,Cozy apartment near the sea!!!,13760516,George,,Ρόδου (Rhodes),36.42041,28.18449,Entire home/apt,40,2,74,2019-09-02,1.55,3,354
8900166,Villa Thea - Villa Thea Collection,330552,Villa,,Μυκόνου (Μykonos),37.45433,25.33579,Entire home/apt,3000,3,7,2019-07-03,0.17,10,0
8900834,Villa Oia - Villa Thea Collection,330552,Villa,,Μυκόνου (Μykonos),37.4526,25.33513,Entire home/apt,1000,3,3,2019-07-28,0.07,10,0
8901562,Villa Accalia-Villa Thea Collection,330552,Villa,,Μυκόνου (Μykonos),37.45448,25.33439,Entire home/apt,2000,3,3,2019-08-24,0.07,10,0
8901845,Iro Suite - Villa Thea Collection,330552,Villa,,Μυκόνου (Μykonos),37.45403,25.33468,Hotel room,1000,3,2,2017-07-25,0.05,10,0
8902085,Junior Suite - Villa Thea Collection,330552,Villa,,Μυκόνου (Μykonos),37.45292,25.33612,Hotel room,2000,3,2,2016-05-24,0.05,10,0
8904036,Κερος,8084324,Gina,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),36.93373,25.61104,Entire home/apt,300,1,16,2019-08-05,0.40,4,117
8908379,Maria's Luxury Villa,46595698,Maria,,Καλυμνίων (Kalymnos),36.97036,26.93757,Entire home/apt,114,3,0,,,1,363
8912730,Laysan Albatross Beach Front Villa,4155182,Stefanakis,,Ρόδου (Rhodes),36.00682,27.91829,Entire home/apt,157,6,3,2019-09-01,0.08,161,166
8913586,"Pool Villa quiet location, garden, 3km from beach",46609384,Anthoula,,Ρόδου (Rhodes),36.22438,28.12255,Entire home/apt,200,4,0,,,5,364
8932563,"Villa Adrali, four bedrooms villa with pool",46703720,Dimitris,,Θήρας (Santorini),36.37026,25.48026,Entire home/apt,1500,2,42,2019-08-26,0.99,1,102
8943790,"",46752254,Athina,,Ρόδου (Rhodes),36.16611,28.08933,Entire home/apt,250,11,0,,,1,364
8944609,Fedra;s house,46756038,George,,Ρόδου (Rhodes),36.31537,28.09553,Entire home/apt,79,3,0,,,1,365
8947729,The Royal Oak,46766165,Andre,,Κέας (Kea),37.67033,24.3561,Entire home/apt,250,3,6,2019-08-03,0.16,1,83
8961489,Luxury Villa O Psarrou Mykonos,22882814,Vassilis,,Μυκόνου (Μykonos),37.41287,25.33503,Entire home/apt,1000,5,2,2018-08-27,0.08,2,362
8961911,"Farmhouse in Ateni, Andros",46837616,Elias,,Άνδρου (Andros),37.90985,24.83411,Entire home/apt,78,4,2,2019-08-10,0.08,1,365
8964291,Ampelonas executive houses,46548348,Manos,,Θήρας (Santorini),36.3905,25.44209,Entire home/apt,73,1,21,2019-07-07,0.52,2,16
8965168,Klados Seaside Family Studio,13668574,Γεωργία,,Σίφνου (Sifnos),37.03318,24.65037,Entire home/apt,47,1,13,2018-07-18,0.33,7,303
8977087,"""Dove-cote"", a villa with  fantastic sea view",46909193,Yiannis,,Τήνου (Tinos),37.54727,25.15896,Entire home/apt,80,2,25,2019-09-15,0.63,1,180
8983792,Deluxe Villa Our Villa Santorini,46934503,Nikolai,,Θήρας (Santorini),36.36038,25.40108,Entire home/apt,380,2,0,,,2,166
8996886,Sunshine Studios 1,46993317,Roula,,Καρπάθου (Karpathos),35.75677,27.2083,Entire home/apt,45,1,21,2019-09-19,0.54,2,269
9008337,Double Studio in Perissa beach,4840338,Despoina,,Θήρας (Santorini),36.35769,25.47112,Private room,50,3,9,2016-11-20,0.19,7,0
9017525,Superior Room,47083918,Carbonaki,,Μυκόνου (Μykonos),37.44429,25.32911,Hotel room,80,1,14,2019-04-03,0.32,7,12
9026894,Villa Jasmine,47121800,Spiros,,Μυκόνου (Μykonos),37.42277,25.34385,Entire home/apt,700,5,13,2019-08-03,0.33,1,365
9047555,"Traditional house in  Kolimpithra, Tinos",47196015,Maria,,Τήνου (Tinos),37.62709,25.14483,Entire home/apt,65,4,14,2019-08-18,0.37,1,0
9053367,Sun's Island  Suites up to 3,4155182,Stefanakis,,Ρόδου (Rhodes),36.45018,28.21947,Entire home/apt,100,3,3,2019-09-08,0.07,161,354
9054987,Nice house in a quiet place terrace view 5 people.,47241077,Anastasios,,Σύρου - Ερμούπολης (Syros),37.39994,24.94586,Entire home/apt,29,1,0,,,8,0
9057789,Bright One Bedroom Apartment for 4,33804521,George,,Θήρας (Santorini),36.39597,25.486,Entire home/apt,70,2,11,2018-07-30,0.27,2,166
9058587,"Mimallis traditional houses in Milos, Syrma",15658904,Eleni,,Μήλου (Milos),36.73682,24.41897,Entire home/apt,100,1,44,2019-09-07,1.09,3,42
9058638,Angelas House,47255391,Kostas,,Ρόδου (Rhodes),36.38727,28.21169,Entire home/apt,100,1,11,2019-05-22,0.40,1,272
9060531,Achilles Aegean View,47168966,Achilles,,Τήνου (Tinos),37.55329,25.11421,Entire home/apt,85,5,7,2019-02-28,0.18,1,365
9061786,"Anezas Mansion, Traditional Stone Built House",47267055,Lena,,Άνδρου (Andros),37.76878,24.93849,Entire home/apt,180,6,9,2019-09-11,0.24,1,341
9069282,Sun's Island Suites up to 5,4155182,Stefanakis,,Ρόδου (Rhodes),36.45048,28.21978,Entire home/apt,100,3,12,2019-08-08,0.34,161,332
9087648,Deluxe Plunge Pool & Indoor Jacuzzi,1215067,Theoni,,Θήρας (Santorini),36.43201,25.4234,Entire home/apt,520,1,0,,,6,19
9088442,Pegasus Independent Villa,1215067,Theoni,,Θήρας (Santorini),36.43087,25.42372,Entire home/apt,490,1,0,,,6,19
9089195,Lovely villa in Paradeisi,47394344,Kyriakos,,Ρόδου (Rhodes),36.39461,28.06651,Entire home/apt,150,4,7,2019-08-15,0.26,1,363
9089826,Junior suite 50m from the beach Naxos,46200384,Zoulis  Evangelos-Giannis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10013,25.37526,Hotel room,55,1,0,,,52,341
9094621,Santorini Traditional Suites LAVA,47367701,Αναστασια,,Θήρας (Santorini),36.39528,25.4538,Entire home/apt,100,1,69,2019-09-15,1.62,5,161
9101095,Depis Edem Blue Villa  with Sea View/ Plaka Naxos,46200384,Zoulis  Evangelos-Giannis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.04861,25.38126,Hotel room,170,2,4,2019-08-17,0.15,52,175
9103432,Sea view House in Kamares - Sifnos,46851115,Stamatis,,Σίφνου (Sifnos),36.98834,24.67448,Entire home/apt,240,2,43,2019-09-22,1.06,1,312
9110086,Antiparos- House C,47087597,Vagelis,,Αντιπάρου (Antiparos),37.04445,25.0823,Entire home/apt,180,2,16,2019-08-20,0.38,1,258
9123524,"Σπιτι Στη Συρο ,Παραλια Βαρης 30 μ,απο την θαλασσα",47241077,Anastasios,,Σύρου - Ερμούπολης (Syros),37.38929,24.9511,Entire home/apt,46,1,8,2018-08-01,0.21,8,89
9131017,Hotel Appartment Naxos Center,46003360,Vasiliki,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10146,25.37829,Private room,120,1,3,2019-08-17,0.18,12,365
9131230,"Tholos Traditional Villa, Jacuzzi, Sea View",10478498,Evangelia,,Θήρας (Santorini),36.43386,25.43659,Entire home/apt,230,2,74,2019-09-24,1.58,4,152
9131929,Villa house Filizi,31577130,Giannis,,Πάρου (Paros),37.1267,25.27487,Entire home/apt,230,2,1,2018-08-12,0.07,2,365
9142776,Traditional 3BDRM Beach House in Ios,47611505,Vaggelis,,Ιητών (Ios),36.75319,25.32642,Entire home/apt,150,3,7,2019-08-08,0.18,1,273
9154545,Kos city center seaview appartement,20048518,George,,Κω (Kos),36.89012,27.3009,Entire home/apt,80,3,25,2019-09-13,0.86,7,242
9162316,"Sorokos Guesthouse, 1 bedroom (2 to 4 persons)",6360100,Maria,,Θήρας (Santorini),36.43984,25.44825,Entire home/apt,250,2,0,,,7,188
9164429,Kea Villa Thea & Petra - PRIVATE POOL,145718,Polina,,Κέας (Kea),37.66603,24.33704,Entire home/apt,380,2,8,2018-08-19,0.20,5,365
9164783,"Kea Villa Thea ""Ilios Villa""",145718,Polina,,Κέας (Kea),37.66499,24.3398,Entire home/apt,110,2,7,2019-04-14,0.17,5,362
9175304,Ivory Suite,47748353,Eleftheria,,Θήρας (Santorini),36.46362,25.38565,Entire home/apt,350,1,8,2019-09-03,0.21,8,40
9175537,Villa Calliope,47748353,Eleftheria,,Θήρας (Santorini),36.46201,25.37605,Entire home/apt,380,1,15,2019-09-01,0.37,8,36
9194351,Altea Apartments C.,36226946,Altea,,Θήρας (Santorini),36.41388,25.43439,Private room,175,1,18,2019-07-05,0.45,4,135
9194457,Altea Apartments B.,36226946,Altea,,Θήρας (Santorini),36.41515,25.43483,Private room,175,1,34,2019-07-26,0.79,4,133
9214809,ALEXANDROS HOUSE (APOLLONIA CENTER),47920317,Alexander,,Σίφνου (Sifnos),36.97552,24.72337,Entire home/apt,77,3,17,2019-07-12,0.41,1,1
9222197,"Island blue, postcard perfect view!",10489106,Louanna,,Θήρας (Santorini),36.46225,25.37681,Entire home/apt,550,2,101,2019-09-13,2.37,6,241
9228838,Sea View Superior Suite,22125851,Anna,,Μήλου (Milos),36.73841,24.42954,Private room,100,2,3,2019-08-05,0.08,4,192
9230838,Arc en ciel,47986256,Μαρία,,Τήνου (Tinos),37.55913,25.18985,Entire home/apt,100,6,12,2019-07-23,0.31,1,208
9242716,"Family Apartment, 1 Bedroom, Sea View",48037198,Michail,,Καρπάθου (Karpathos),35.47177,27.11512,Private room,35,3,0,,,3,293
9244181,Suites Manolia View- swimming pool,48042772,Manolia View,,Μυκόνου (Μykonos),37.46542,25.33502,Entire home/apt,360,1,4,2017-08-15,0.15,3,365
9249921,5 persons apartment with garden,5399746,Enrico,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.10198,25.3766,Entire home/apt,50,2,18,2019-07-11,0.46,1,241
9250790,"Kambos Kottage, Alyki, Paros.",48067562,Milan,,Πάρου (Paros),36.99747,25.1367,Entire home/apt,105,5,0,,,1,365
9265306,Villa Paradeisos,9700636,My Rental Homes,,Μυκόνου (Μykonos),37.4763,25.35453,Entire home/apt,612,3,0,,,117,362
9266850,Villa Smaragdi,9700636,My Rental Homes,,Μυκόνου (Μykonos),37.47641,25.3582,Entire home/apt,785,3,0,,,117,362
9268365,Villa Filìa,9700636,My Rental Homes,,Μυκόνου (Μykonos),37.48368,25.35931,Entire home/apt,694,3,0,,,117,362
9273866,Villa Ifigenia - Nature and Town,48165559,Δανάη,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.08811,25.40895,Entire home/apt,165,1,22,2019-09-15,0.79,2,365
9275346,Stella's House Paros,1584753,Antonis,,Πάρου (Paros),37.08073,25.15195,Entire home/apt,150,3,31,2019-09-10,0.75,2,178
9287608,Blue Horizon Studios,48226719,Mihalis,,Καρπάθου (Karpathos),35.58641,27.08135,Private room,35,3,0,,,2,333
9324674,Luxury villa - large private pool,48396945,Patricia,,Ρόδου (Rhodes),36.29494,28.16051,Entire home/apt,427,7,0,,,1,364
9324701,MORFES LUXURY RESIDENCE,48396944,Ion,,Θήρας (Santorini),36.42718,25.42869,Hotel room,208,1,108,2019-09-20,2.57,1,176
9324759,Diplos Studios,48396950,Αντωνία,,Πάρου (Paros),37.08941,25.15751,Entire home/apt,60,1,48,2019-09-13,1.14,3,174
9337946,Astonishing Dimitrios Cave House,48464639,Konstantinos,,Θήρας (Santorini),36.427,25.42721,Entire home/apt,239,2,22,2019-07-29,0.58,1,235
9340679,Villa with a pool  and sea view,48479114,Νίκος,,Κέας (Kea),37.58126,24.27767,Entire home/apt,250,4,20,2019-08-31,0.51,1,120
9342369,Modern family house,48487334,Μιχάλης,,Ρόδου (Rhodes),36.43164,28.21469,Entire home/apt,90,1,4,2017-08-25,0.10,1,365
9344688,Charming Greek island style studio,48497376,Damian,,Αμοργού (Amorgos),36.8319,25.86353,Entire home/apt,88,3,73,2019-09-21,1.76,1,306
9346264,Villa 150M from the see Garde1000ΤΜ,48505850,Εμμανουηλ,,Ρόδου (Rhodes),36.42057,28.15046,Entire home/apt,150,1,0,,,1,365
9356214,Traditional guest house,48556887,Fani,,Θήρας (Santorini),36.38455,25.45944,Entire home/apt,65,2,111,2019-09-27,2.87,1,234
9358240,Mykonos Villas Adam & Eve,44831216,Nelson,,Μυκόνου (Μykonos),37.41079,25.36293,Entire home/apt,1146,2,0,,,89,242
9361015,Mykonos Villa Super Paradise One,44831216,Nelson,,Μυκόνου (Μykonos),37.41716,25.37234,Entire home/apt,1200,3,1,2017-09-10,0.04,89,364
9361278,Mykonos Villa Super Paradise Three,44831216,Nelson,,Μυκόνου (Μykonos),37.41589,25.37366,Entire home/apt,900,3,0,,,89,364
9361465,Mykonos Villa Super Paradise Two,44831216,Nelson,,Μυκόνου (Μykonos),37.41763,25.37329,Entire home/apt,750,3,0,,,89,364
9363681,Sisamos,48585290,Stavros,,Καρπάθου (Karpathos),35.50895,27.2196,Private room,38,2,44,2019-09-18,1.12,1,182
9377850,Stagones - Grand Villa,48654793,Do  Disturb Group,,Πάρου (Paros),37.11407,25.27084,Entire home/apt,600,1,7,2019-09-05,0.18,80,272
9378244,Twin room,48656676,Garifallia,,Πάρου (Paros),37.08234,25.15032,Private room,35,1,23,2019-09-15,0.62,2,11
9378709,Sea Suite,30520302,Grigoris,,Θήρας (Santorini),36.46092,25.37413,Entire home/apt,330,1,0,,,8,185
9378899,Azure Suite,30520302,Grigoris,,Θήρας (Santorini),36.46236,25.37585,Entire home/apt,260,1,4,2018-05-24,0.10,8,221
9379433,Mykonos Super Paradise Villas,44831216,Nelson,,Μυκόνου (Μykonos),37.41582,25.36911,Entire home/apt,3050,5,0,,,89,364
9379561,Daydream Suites - Residence Villa,48654793,Do  Disturb Group,,Θήρας (Santorini),36.41898,25.42993,Hotel room,990,1,1,2017-06-29,0.04,80,34
9380393,Triple room,48656676,Garifallia,,Πάρου (Paros),37.08291,25.14919,Private room,99,1,1,2018-09-14,0.08,2,6
9387766,Best location in Patmos Old House,25540563,Arne,,Πάτμου (Patmos),37.3282,26.53914,Entire home/apt,90,7,1,2019-08-30,0.94,2,275
9396845,STUDIOS STAVROS Logaras Beach PAROS 1,45051746,Studios Stavros,,Πάρου (Paros),37.03191,25.25266,Entire home/apt,32,1,4,2019-08-25,0.10,3,49
9397640,Stagones - Maisonette Villa,48654793,Do  Disturb Group,,Πάρου (Paros),37.11404,25.2697,Entire home/apt,500,1,4,2019-06-17,0.10,80,272
9398660,Stagones - Premier Villa,48654793,Do  Disturb Group,,Πάρου (Paros),37.11395,25.26955,Entire home/apt,450,1,13,2019-09-07,0.34,80,58
9398989,Villa Anna. Best View In Paros,48745590,Ξένη,,Πάρου (Paros),37.08326,25.15826,Entire home/apt,80,3,18,2019-09-07,0.46,1,106
9401735,Kiki & Clemens place,34894287,Kiki,,Ρόδου (Rhodes),36.2963,28.17403,Entire home/apt,35,7,13,2018-09-15,0.33,3,293
9403108,STUDIOS STAVROS - MELANITIS STAVROS,45051746,Studios Stavros,,Πάρου (Paros),37.03134,25.25298,Private room,42,1,1,2018-09-19,0.08,3,49
9417677,Luxury villa with stunning views above Kalo Livadi,3664522,Petros,,Μυκόνου (Μykonos),37.43476,25.4007,Entire home/apt,1000,3,49,2019-09-26,1.15,1,202
9418051,Mykonos Villa Cliff's Edge,44831216,Nelson,,Μυκόνου (Μykonos),37.48379,25.31021,Entire home/apt,1400,7,0,,,89,364
9420401,Villa Valvis double superior room,1923369,Jackie,,Θήρας (Santorini),36.35143,25.46728,Private room,40,2,34,2019-09-15,0.82,7,181
9421232,"House in Castro, Parikia",48844604,Thalia,,Πάρου (Paros),37.08593,25.14838,Entire home/apt,100,1,56,2019-09-23,1.34,2,53
9425680,Private room next to the sea,8432359,Δημήτριος,,Ρόδου (Rhodes),36.33369,28.20671,Private room,30,3,30,2019-08-30,0.77,1,253
9427375,KATSINAROS HOUSE,48870352,Flora,,Θήρας (Santorini),36.36076,25.44504,Entire home/apt,53,2,25,2019-09-13,1.54,1,15
9438288,"Anezina Hotel, Drios, Paros",48918705,Maria,,Πάρου (Paros),37.00346,25.22434,Private room,60,1,13,2019-08-19,0.33,5,173
9443228,Annais Casa,40896959,Maria & Flora,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),37.02484,25.37013,Entire home/apt,350,4,6,2019-07-21,0.25,30,192
9443882,"Spiti Marie - Stylish villa, sea views -",7108166,Alasdair (Ali),,Πάρου (Paros),37.00473,25.20044,Entire home/apt,225,3,3,2019-07-26,0.12,3,269
9444709,Perla Casa,40896959,Maria & Flora,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),36.99078,25.46035,Entire home/apt,260,4,6,2019-08-21,0.16,30,206
9466668,Zen Villa Santorini,4021222,Amalia,,Θήρας (Santorini),36.36176,25.39784,Entire home/apt,550,2,40,2019-08-31,0.94,44,313
9471010,Two luxurious villas - 36 Guests,23559595,Chris,,Μυκόνου (Μykonos),37.42538,25.37742,Entire home/apt,3000,4,1,2016-05-30,0.02,5,365
9489612,Villa Barbarossa Luxury Beach House,6877974,Olga,,Μυκόνου (Μykonos),37.46183,25.37155,Entire home/apt,2700,5,0,,,4,195
9500780,Moonlight - Apartment,48654793,Do  Disturb Group,,Θήρας (Santorini),36.42614,25.43539,Entire home/apt,200,1,39,2019-09-11,0.94,80,191
